txn_id,ts_utc,user_id,amount_vnd,merchant_id,merchant_cat,channel,device_id,device_os,is_new_device,ip_country,province,account_age_days,txn_count_24h,amount_avg_30d,status
TXN-2021444,2024-07-07 00:26:20,U617028,1042000,M008685,,p2p,,,,VN,Đồng Nai,1190,6,1114702,completed
TXN-2008247,2024-07-07 00:37:59,U173153,81000,M019272,,qr,,,,VN,Hà Nội,397,4,115510,completed
TXN-2019851,2024-07-07 01:56:52,U417842,440000,M027015,travel,p2p,,,,VN,Hà Nội,1201,1,713595,completed
TXN-2003910,2024-07-07 03:51:03,U142292,212000,M012917,transport,qr,,,,VN,Thanh Hóa,1393,4,370732,completed
TXN-2004684,2024-07-07 04:59:17,U606613,2342000,M006494,Grocery,p2p,,,,VN,Hồ Chí Minh,1132,6,2842984,completed
TXN-2022154,2024-07-07 05:30:49,U386465,285000,M011653,groceries,p2p,,,,VN,Đồng Nai,374,3,291630,completed
TXN-2000919,2024-07-07 06:33:04,U707808,11949000,M012713,Grocery,p2p,,,,VN,Hồ Chí Minh,784,5,13628825,completed
TXN-2005569,2024-07-07 06:41:56,U649366,523000,M009627,FOOD_BEV,qr,,,,VN,Đồng Nai,1263,5,687851,completed
TXN-2013594,2024-07-07 07:11:46,U461212,293000,M013480,groceries,qr,,,,VN,Lâm Đồng,1451,8,500584,completed
TXN-2001670,2024-07-07 09:19:25,U738982,387000,M008300,,qr,,,,VN,Hà Nội,192,5,700360,completed
TXN-2003680,2024-07-07 10:16:38,U758799,33000,M004618,Education,qr,,,,VN,Hải Phòng,348,2,38455,completed
TXN-2024061,2024-07-07 10:33:51,U100987,991000,M004311,UTIL,qr,,,,VN,Hồ Chí Minh,2311,2,988640,completed
TXN-2015472,2024-07-07 11:40:39,U230055,441000,M009823,transport,qr,,,,VN,Đà Nẵng,363,3,296261,completed
TXN-2023390,2024-07-07 11:54:00,U100769,15271000,M018039,Utilities,p2p,,,,VN,Hồ Chí Minh,1310,8,9746265,completed
TXN-2024076,2024-07-07 12:47:24,U870267,57000,M021588,Grocery,qr,,,,VN,Hà Nội,1178,5,98446,completed
TXN-2021941,2024-07-07 13:19:49,U960547,875000,M021632,Health,qr,,,,VN,Hồ Chí Minh,1195,4,1477912,completed
TXN-2020865,2024-07-07 13:59:20,U817248,10795000,M002408,ride_hailing,p2p,,,,VN,Bình Dương,1416,7,13287936,completed
TXN-2004265,2024-07-07 13:59:59,U283670,703000,M022438,groceries,bill,,,,VN,Hồ Chí Minh,625,2,619585,completed
TXN-2009910,2024-07-07 14:15:43,U238502,379000,M024802,utilities,qr,,,,VN,Hồ Chí Minh,2392,2,294625,completed
TXN-2021814,2024-07-07 15:15:36,U903264,260000,M017060,bill_payment,bill,,,,VN,Cần Thơ,1737,8,281727,completed
TXN-2024138,2024-07-07 15:43:44,U190518,0,M016598,Transport,topup,,,,VN,Hồ Chí Minh,2161,2,15000,completed
TXN-2006939,2024-07-08 00:59:43,U339348,1962000,M009346,UTIL,p2p,,,,VN,Hải Phòng,117,6,1556086,completed
TXN-2022218,2024-07-08 02:03:31,U132893,379000,M023298,food_bev,qr,,,,VN,Lâm Đồng,1744,1,311372,completed
TXN-2015486,2024-07-08 02:39:24,U359315,4753000,M022836,grocery,p2p,,,,VN,Hải Phòng,915,4,8594199,completed
TXN-2011501,2024-07-08 03:51:09,U690933,323000,M009955,fnb,bill,,,,VN,Hồ Chí Minh,137,7,438244,completed
TXN-2008575,2024-07-08 04:40:09,U352513,827000,M002790,E-Commerce,bill,,,,VN,Bình Dương,982,8,791113,completed
TXN-2017213,2024-07-08 05:40:56,U803179,35000,M015045,GROCERY,qr,,,,VN,Hồ Chí Minh,638,5,22387,completed
TXN-2005550,2024-07-08 09:21:23,U201604,136000,M012747,food_bev,bill,,,,VN,Nghệ An,325,2,117095,completed
TXN-2018210,2024-07-08 09:30:26,U680525,417000,M007315,transport,bill,,,,VN,Hà Nội,1193,1,260899,completed
TXN-2020041,2024-07-08 10:08:40,U548330,639000,M013705,food_bev,qr,,,,VN,Cần Thơ,813,7,1019848,completed
TXN-2023312,2024-07-08 10:21:49,U718330,1160000,M000645,UTIL,bill,,,,VN,Hồ Chí Minh,248,8,931292,completed
TXN-2002626,2024-07-08 11:22:51,U401502,303000,M002153,EDU,qr,,,,VN,Khánh Hòa,186,6,424138,completed
TXN-2000201,2024-07-08 12:01:27,U489567,162000,M014409,food_bev,qr,,,,VN,Nghệ An,474,7,223668,completed
TXN-2011173,2024-07-08 12:14:08,U154989,3415000,M020904,grocery,p2p,,,,VN,Nghệ An,1543,3,3756931,completed
TXN-2019320,2024-07-08 12:17:01,U532871,520000,M011249,e_commerce,bill,,,,VN,Hà Nội,569,2,841153,completed
TXN-2023812,2024-07-08 12:42:32,U830750,707000,M029394,,topup,,,,VN,Cần Thơ,1408,8,1030763,completed
TXN-2003030,2024-07-08 13:33:22,U742282,41000,M015477,Transport,qr,,,,VN,Hải Phòng,1862,6,66354,completed
TXN-2011135,2024-07-08 13:36:03,U493602,7362000,M000105,,p2p,,,,VN,Nghệ An,2083,6,12534017,completed
TXN-2001866,2024-07-08 16:07:11,U842346,6536000,M019650,ecommerce,p2p,,,,VN,Lâm Đồng,1790,3,6277641,completed
TXN-2023751,2024-07-08 16:32:16,U912793,1867000,M017164,E Commerce,ecom,,,,VN,Hải Phòng,1319,1,1276468,completed
TXN-2004179,2024-07-08 16:45:33,U634258,178000,M020861,E-Commerce,qr,,,,VN,Cần Thơ,145,8,253814,completed
TXN-2001194,2024-07-08 18:50:54,U775905,4030000,M004624,,p2p,,,,VN,Hồ Chí Minh,2208,2,3932841,completed
TXN-2007101,2024-07-08 19:31:05,U170594,1048000,M012445,food and beverage,ecom,,,,VN,An Giang,2127,1,790321,completed
TXN-2010993,2024-07-09 01:23:05,U430498,63000,M018288,TRANSPORT,qr,,,,VN,Hồ Chí Minh,1398,5,36361,completed
TXN-2023862,2024-07-09 02:07:19,U605686,956000,M011181,E-Commerce,p2p,,,,VN,Nghệ An,810,1,1483109,completed
TXN-2003885,2024-07-09 02:36:39,U183239,154000,M015708,TELCO,qr,,,,VN,Hồ Chí Minh,1382,4,120736,completed
TXN-2019346,2024-07-09 03:33:08,U147958,462000,M025306,TRANSPORT,qr,,,,VN,Đà Nẵng,1228,4,290892,completed
TXN-2004014,2024-07-09 03:58:14,U413385,1339000,M023211,,qr,,,,VN,Hồ Chí Minh,98,3,1841286,completed
TXN-2001046,2024-07-09 04:48:18,U212245,267000,M016744,e_commerce,bill,,,,VN,Khánh Hòa,522,3,220176,completed
TXN-2011843,2024-07-09 05:54:19,U635807,241000,M004184,grocery,qr,,,,VN,Lâm Đồng,1170,1,183102,completed
TXN-2004246,2024-07-09 06:26:00,U203324,115000,M011533,fnb,topup,,,,VN,Hà Nội,630,1,98196,completed
TXN-2018839,2024-07-09 06:41:41,U999392,564000,M012893,F&B,topup,,,,VN,Hải Phòng,1213,1,843487,completed
TXN-2019959,2024-07-09 07:41:59,U727368,10000,M027518,entertainment,topup,,,,VN,Đồng Nai,988,6,15000,completed
TXN-2018926,2024-07-09 09:17:58,U697459,508000,M027621,ecommerce,qr,,,,VN,Nghệ An,1414,8,815794,completed
TXN-2018304,2024-07-09 09:34:23,U827122,2391000,M009067,education,p2p,,,,VN,Bình Dương,129,2,3567459,completed
TXN-2016787,2024-07-09 09:39:29,U966272,10493000,M011777,E Commerce,bill,,,,VN,Thanh Hóa,141,4,11141761,completed
TXN-2019104,2024-07-09 10:09:20,U253789,107000,M027875,e_commerce,qr,,,,VN,Bình Dương,715,6,70548,completed
TXN-2019922,2024-07-09 10:35:55,U880605,3276000,M016297,fnb,p2p,,,,VN,Hà Nội,1558,3,5196660,completed
TXN-2022635,2024-07-09 12:11:20,U900756,237000,M016601,grocery,qr,,,,VN,Khánh Hòa,248,2,191677,completed
TXN-2001877,2024-07-09 13:17:37,U143141,425000,M021877,GROCERY,topup,,,,VN,Khánh Hòa,736,6,479773,completed
TXN-2016943,2024-07-09 13:22:34,U769026,225000,M012034,FOOD_BEV,topup,,,,VN,Hồ Chí Minh,746,2,253152,completed
TXN-2008708,2024-07-09 13:28:39,U818866,691000,M021382,education,qr,,,,VN,Hồ Chí Minh,1051,2,945456,completed
TXN-2001367,2024-07-09 13:36:08,U650155,4614000,M017924,GROCERY,ecom,,,,VN,Đà Nẵng,2215,3,8333739,completed
TXN-2017472,2024-07-09 14:13:01,U102150,50189000,M004499,telco,p2p,,,,VN,Đồng Nai,1952,4,43468699,completed
TXN-2012180,2024-07-09 14:33:35,U930085,198000,M027848,TELCO,qr,,,,VN,Hồ Chí Minh,1361,2,325176,completed
TXN-2018302,2024-07-09 17:23:43,U148016,965000,M013293,ride_hailing,ecom,,,,VN,Hồ Chí Minh,384,3,1099163,completed
TXN-2011717,2024-07-09 23:08:34,U169123,255219000,M012327,HEALTH,p2p,,,,VN,Hà Nội,489,3,203541718,completed
TXN-2022247,2024-07-10 01:11:06,U159213,137000,M026633,ecommerce,qr,,,,VN,Hà Nội,2203,4,156069,completed
TXN-2010765,2024-07-10 05:27:59,U532543,226000,M010063,,topup,,,,VN,Hồ Chí Minh,652,8,323060,completed
TXN-2024124,2024-07-10 07:41:54,U763084,4701000,M029942,FOOD_BEV,bill,,,,VN,Hà Nội,311,6,8709382,completed
TXN-2000027,2024-07-10 08:08:55,U707808,125000,M018983,F&B,qr,,,,VN,Cần Thơ,893,1,229262,completed
TXN-2010908,2024-07-10 08:32:04,U396112,4972000,M023999,Transport,bill,,,,VN,Hồ Chí Minh,674,1,3896201,completed
TXN-2021511,2024-07-10 09:52:45,U354912,236000,M014656,TRANSPORT,qr,,,,VN,Đà Nẵng,1694,2,361103,completed
TXN-2020291,2024-07-10 10:40:02,U211288,193000,M014785,,topup,,,,VN,Đà Nẵng,1260,3,109280,completed
TXN-2024195,2024-07-10 11:41:48,U996263,1509000,M020984,,qr,,,,VN,Hà Nội,2211,5,1358001,completed
TXN-2015438,2024-07-10 13:29:15,U238502,386000,M002156,TRANSPORT,topup,,,,VN,Hà Nội,1375,8,408219,completed
TXN-2005151,2024-07-10 13:33:18,U663529,1106000,M026022,food_bev,bill,,,,VN,Hồ Chí Minh,928,2,620006,completed
TXN-2016383,2024-07-10 13:54:01,U586255,10000,M001897,utilities,topup,,,,VN,Hà Nội,482,3,15000,completed
TXN-2001139,2024-07-10 14:16:15,U658008,2982000,M011680,FOOD_BEV,p2p,,,,VN,Bình Dương,1443,8,2917773,completed
TXN-2015196,2024-07-10 14:47:14,U970979,304000,M013118,grocery,topup,,,,VN,Hà Nội,1393,7,382726,completed
TXN-2004651,2024-07-10 15:17:10,U403751,191000,M011725,,qr,,,,VN,Hồ Chí Minh,716,6,314501,completed
TXN-2022834,2024-07-10 16:06:24,U960130,81000,M011241,entertainment,topup,,,,VN,Hà Nội,252,1,69748,completed
TXN-2011580,2024-07-10 23:18:16,U561923,75000,M024675,Grocery,qr,,,,VN,Khánh Hòa,1095,3,92775,completed
TXN-2006824,2024-07-10 23:46:46,U876718,163000,M013977,grocery,qr,,,,VN,Hà Nội,1409,6,129231,completed
TXN-2003633,2024-07-11 01:12:44,U614091,792000,M013194,bill_payment,p2p,,,,VN,Hà Nội,368,6,469852,completed
TXN-2018509,2024-07-11 01:28:54,U488848,631000,M027882,mobile_topup,qr,,,,VN,Hồ Chí Minh,1371,7,470733,completed
TXN-2022865,2024-07-11 01:38:52,U719729,112000,M014467,e_commerce,qr,,,,VN,Cần Thơ,594,8,116073,completed
TXN-2010990,2024-07-11 01:41:36,U639095,2178000,M020523,fnb,p2p,,,,VN,Hồ Chí Minh,1700,6,1223290,completed
TXN-2012574,2024-07-11 02:38:06,U848336,1085000,M000904,,p2p,,,,VN,An Giang,827,3,1759048,completed
TXN-2011429,2024-07-11 03:23:16,U418299,127000,M004658,food and beverage,ecom,,,,VN,Hồ Chí Minh,2004,8,200719,completed
TXN-2023386,2024-07-11 03:43:39,U305847,24000,M003526,Grocery,topup,,,,VN,Hà Nội,1520,3,29120,completed
TXN-2017332,2024-07-11 03:51:11,U223434,4833000,M005484,grocery,p2p,,,,VN,An Giang,2295,4,5997212,completed
TXN-2014781,2024-07-11 04:46:30,U887096,16000,M014727,E-Commerce,qr,,,,VN,Hà Nội,1368,2,26840,completed
TXN-2010457,2024-07-11 08:31:51,U953374,95000,M014232,grocery,topup,,,,VN,Hồ Chí Minh,2084,8,104051,completed
TXN-2021981,2024-07-11 09:06:15,U282444,170000,M026390,food and beverage,topup,,,,VN,Hà Nội,496,6,223029,completed
TXN-2003105,2024-07-11 09:21:28,U888038,143000,M016533,food and beverage,qr,,,,VN,Hồ Chí Minh,469,7,215070,completed
TXN-2006885,2024-07-11 09:54:26,U131425,652000,M009329,F&B,qr,,,,VN,Khánh Hòa,1969,4,1037668,completed
TXN-2020120,2024-07-11 11:03:18,U109025,802000,M023799,Telco,qr,,,,VN,Hải Phòng,360,1,1150663,completed
TXN-2020986,2024-07-11 12:24:37,U682889,53000,M001512,,qr,,,,KH,Thanh Hóa,827,5,51301,completed
TXN-2003900,2024-07-11 12:32:24,U649483,10000,M018040,F&B,topup,,,,VN,Đồng Nai,1653,3,15000,completed
TXN-2008132,2024-07-11 13:53:20,U716957,439000,M007551,food_bev,qr,,,,VN,Nghệ An,289,6,290841,completed
TXN-2006152,2024-07-11 14:14:47,U196574,1504000,M013840,TRANSPORT,p2p,,,,VN,Hải Phòng,1525,8,1624689,completed
TXN-2002735,2024-07-11 16:32:30,U649366,2656000,M006509,Telco,p2p,,,,VN,Bình Dương,1170,7,2213476,completed
TXN-2016452,2024-07-11 22:26:58,U151443,331000,M021392,mobile_topup,qr,,,,VN,An Giang,204,1,312702,completed
TXN-2022807,2024-07-11 23:33:26,U924552,2155000,M016248,Telco,qr,,,,VN,Bình Dương,912,2,2261297,completed
TXN-2006477,2024-07-12 00:07:48,U135498,1115000,M010579,groceries,bill,,,,VN,Hồ Chí Minh,1650,8,1264954,completed
TXN-2007949,2024-07-12 00:20:37,U621612,960000,M028345,E-Commerce,p2p,,,,VN,Bình Dương,1892,2,620372,completed
TXN-2011279,2024-07-12 01:30:30,U160502,912000,M009320,transport,qr,,,,VN,Thanh Hóa,1092,5,1355089,completed
TXN-2023347,2024-07-12 02:26:19,U410654,544000,M006043,E-Commerce,qr,,,,VN,An Giang,339,6,562811,completed
TXN-2010261,2024-07-12 02:26:42,U644649,72000,M019226,groceries,qr,,,,VN,Đà Nẵng,2033,6,63108,completed
TXN-2013872,2024-07-12 02:51:34,U714814,199000,M006476,ride_hailing,topup,,,,VN,Hà Nội,189,4,146385,completed
TXN-2014820,2024-07-12 03:40:47,U745405,120000,M004457,fnb,qr,,,,VN,Thanh Hóa,955,4,204456,completed
TXN-2016876,2024-07-12 03:56:30,U628082,152000,M009655,Food & Beverage,qr,,,,VN,Hà Nội,2162,7,98903,completed
TXN-2023772,2024-07-12 07:25:56,U100648,108000,M021512,GROCERY,qr,,,,VN,Hồ Chí Minh,1079,1,80350,completed
TXN-2017150,2024-07-12 08:14:06,U409074,528000,M014095,TRANSPORT,topup,,,,VN,Đồng Nai,409,1,851626,completed
TXN-2007950,2024-07-12 08:23:10,U837668,108000,M008662,fnb,qr,,,,VN,Đà Nẵng,401,3,63484,completed
TXN-2014246,2024-07-12 09:19:33,U891648,172000,M010840,ecommerce,qr,,,,VN,Hà Nội,784,5,255400,completed
TXN-2007292,2024-07-12 09:28:11,U922811,12886000,M016031,UTIL,p2p,,,,VN,Hà Nội,2300,3,15979200,completed
TXN-2004644,2024-07-12 10:25:24,U162774,243000,M001985,groceries,p2p,,,,VN,Đà Nẵng,918,1,378027,completed
TXN-2009846,2024-07-12 10:51:45,U844185,-43000,M015073,F&B,topup,,,,VN,Hà Nội,2063,6,61001,reversed
TXN-2024168,2024-07-12 12:06:20,U753786,25000,M020011,transport,qr,,,,VN,Cần Thơ,1503,4,32903,completed
TXN-2019040,2024-07-12 13:33:28,U165934,4279000,M001104,F&B,ecom,,,,VN,Hồ Chí Minh,1460,4,3475553,completed
TXN-2008642,2024-07-12 14:08:03,U187733,181000,M007946,TRANSPORT,qr,,,,VN,Đồng Nai,1843,4,147041,completed
TXN-2022958,2024-07-12 15:52:59,U212014,5149000,M021905,EDU,p2p,,,,VN,Hồ Chí Minh,1343,1,5752951,declined
TXN-2023464,2024-07-12 16:48:10,U343543,35000,M020027,food and beverage,topup,,,,VN,Đà Nẵng,750,5,63782,completed
TXN-2003618,2024-07-12 20:32:13,U231676,1329000,M022902,ENT,bill,,,,VN,Lâm Đồng,816,2,1506671,completed
TXN-2008917,2024-07-12 21:28:05,U708515,93000,M027376,ecommerce,topup,,,,VN,Lâm Đồng,1882,7,132620,completed
TXN-2011283,2024-07-12 22:32:26,U835196,807000,M011240,transport,bill,,,,VN,Thanh Hóa,2162,8,1005797,completed
TXN-2022492,2024-07-12 23:31:26,U810980,424000,M011899,Health,qr,,,,SG,Cần Thơ,277,8,531426,completed
TXN-2009081,2024-07-13 02:03:16,U589673,2640000,M014358,FOOD_BEV,p2p,,,,VN,Thanh Hóa,1413,1,1871231,completed
TXN-2014214,2024-07-13 02:20:38,U548452,778000,M019463,groceries,p2p,,,,VN,Hồ Chí Minh,451,3,626321,completed
TXN-2000007,2024-07-13 03:52:19,U419036,205000,M002563,EDU,bill,,,,VN,Hồ Chí Minh,1227,4,151367,completed
TXN-2012416,2024-07-13 03:54:02,U624644,164000,M005405,food and beverage,ecom,,,,VN,Hà Nội,1905,7,243362,completed
TXN-2013454,2024-07-13 04:02:40,U235857,3182000,M019482,education,ecom,,,,VN,Nghệ An,1362,5,1843710,completed
TXN-2018524,2024-07-13 05:21:52,U310558,706000,M023814,education,topup,,,,VN,An Giang,1995,8,654779,completed
TXN-2014995,2024-07-13 05:24:43,U392638,3509000,M015510,Grocery,bill,,,,VN,Cần Thơ,1336,8,3486542,completed
TXN-2011994,2024-07-13 06:09:18,U420321,120000,M015139,E Commerce,qr,,,,VN,An Giang,428,2,138642,completed
TXN-2013734,2024-07-13 06:18:37,U354804,2031000,M009829,bill_payment,p2p,,,,VN,Hồ Chí Minh,1283,6,1691707,completed
TXN-2019463,2024-07-13 06:42:36,U460171,815000,M012508,fnb,p2p,,,,VN,Đồng Nai,1853,1,507200,completed
TXN-2023333,2024-07-13 06:47:12,U323651,165000,M002845,mobile_topup,qr,,,,VN,Hải Phòng,1295,4,220103,completed
TXN-2022555,2024-07-13 06:58:16,U708020,1338000,M028479,health,p2p,,,,VN,Hà Nội,911,4,1870544,completed
TXN-2004988,2024-07-13 07:34:28,U304042,6607000,M001703,fnb,p2p,,,,VN,Bình Dương,1695,4,4090245,completed
TXN-2007881,2024-07-13 07:37:14,U210949,13000,M002054,fnb,topup,,,,VN,Thanh Hóa,866,5,15000,completed
TXN-2003792,2024-07-13 07:43:59,U856499,166000,M021885,Travel,qr,,,,VN,Hà Nội,2236,4,138388,completed
TXN-2010570,2024-07-13 08:05:16,U603971,3254000,M019394,Food & Beverage,p2p,,,,VN,Hà Nội,1308,6,5477553,completed
TXN-2019119,2024-07-13 09:32:36,U614064,297000,M016741,F&B,qr,,,,VN,Hà Nội,662,4,334540,completed
TXN-2023753,2024-07-13 12:07:33,U638129,455000,M018807,grocery,qr,,,,VN,Hồ Chí Minh,569,1,550768,completed
TXN-2010779,2024-07-13 12:44:40,U175308,112000,M023274,grocery,topup,,,,VN,Hà Nội,2012,3,120764,completed
TXN-2017675,2024-07-13 13:21:52,U446636,389000,M018439,Grocery,qr,,,,VN,Hồ Chí Minh,947,2,412586,completed
TXN-2004343,2024-07-13 14:01:42,U484652,63000,M018677,food and beverage,qr,,,,VN,Hồ Chí Minh,67,5,57092,completed
TXN-2024009,2024-07-13 16:19:08,U682889,578000,M013177,Transport,topup,,,,VN,Cần Thơ,1230,8,730633,completed
TXN-2002383,2024-07-13 18:13:01,U733754,592000,M011789,groceries,p2p,,,,VN,Hồ Chí Minh,443,6,1041633,declined
TXN-2016754,2024-07-13 21:49:16,U141065,3717000,M007812,Grocery,p2p,,,,VN,Hà Nội,1703,5,2894043,completed
TXN-2012822,2024-07-13 23:51:13,U258809,51000,M026389,groceries,p2p,,,,VN,Hà Nội,2155,5,91803,completed
TXN-2011881,2024-07-14 00:39:00,U729881,19716000,M005203,Transport,p2p,,,,SG,Bình Dương,459,5,30327027,completed
TXN-2004422,2024-07-14 01:34:19,U544912,2062000,M006541,E-Commerce,qr,,,,VN,Nghệ An,1499,3,2457188,completed
TXN-2020909,2024-07-14 02:19:09,U789463,10000,M006444,fnb,qr,,,,VN,Lâm Đồng,374,2,15000,completed
TXN-2021537,2024-07-14 02:53:16,U335082,3555000,M006334,fnb,ecom,,,,VN,Hà Nội,618,3,6721593,completed
TXN-2005468,2024-07-14 03:07:21,U552824,206000,M011465,,topup,,,,VN,Đà Nẵng,1541,3,136166,completed
TXN-2016436,2024-07-14 03:33:31,U537912,386000,M018393,EDU,qr,,,,VN,An Giang,2398,4,309349,completed
TXN-2016136,2024-07-14 06:41:30,U540816,238000,M013090,ECOM,qr,,,,VN,Hà Nội,908,6,140475,completed
TXN-2018272,2024-07-14 08:03:50,U316411,106000,M025843,F&B,ecom,,,,VN,An Giang,1223,4,67712,completed
TXN-2001664,2024-07-14 08:54:24,U518141,9893000,M005951,ride_hailing,ecom,,,,VN,Bình Dương,1542,2,6537243,completed
TXN-2017071,2024-07-14 09:52:17,U901491,2962000,M004284,ECOM,bill,,,,VN,Hồ Chí Minh,2138,3,4482204,completed
TXN-2003298,2024-07-14 12:40:03,U537067,65000,M007278,,qr,,,,VN,Hà Nội,775,6,58674,completed
TXN-2013215,2024-07-14 13:34:22,U959269,5912000,M017246,utilities,bill,,,,VN,Hồ Chí Minh,1245,7,10629033,completed
TXN-2017313,2024-07-14 14:01:24,U232638,310000,M025034,Grocery,qr,,,,VN,Hồ Chí Minh,1470,1,564233,completed
TXN-2000512,2024-07-14 15:15:12,U883417,80000,M008793,TRANSPORT,topup,,,,VN,Nghệ An,1556,8,71150,completed
TXN-2016635,2024-07-14 17:38:55,U379239,123000,M028473,ecommerce,qr,,,,VN,Hồ Chí Minh,1934,4,116496,completed
TXN-2001456,2024-07-15 01:51:15,U149677,1347000,M021885,E Commerce,bill,,,,VN,Lâm Đồng,309,3,1170224,completed
TXN-2024144,2024-07-15 02:03:47,U312986,10000,M018934,groceries,qr,,,,VN,Hà Nội,1344,7,15000,completed
TXN-2019044,2024-07-15 02:14:36,U401352,49000,M015729,fnb,qr,,,,VN,Khánh Hòa,2039,4,47753,completed
TXN-2023882,2024-07-15 03:28:14,U415813,799000,M004886,UTIL,qr,,,,VN,Đồng Nai,1321,7,1418529,completed
TXN-2005873,2024-07-15 03:35:53,U948517,1246000,M013586,Telco,topup,,,,VN,Hồ Chí Minh,950,7,903469,completed
TXN-2012673,2024-07-15 04:08:28,U954880,2426000,M000009,Travel,p2p,,,,VN,Hồ Chí Minh,1016,4,4261773,completed
TXN-2012175,2024-07-15 04:26:46,U766221,300000,M022060,TELCO,bill,,,,VN,Hải Phòng,2043,1,492484,completed
TXN-2021573,2024-07-15 06:19:04,U192869,377000,M004746,ENT,qr,,,,VN,An Giang,666,4,608018,completed
TXN-2021088,2024-07-15 08:01:33,U418445,585000,M013156,Telco,qr,,,,VN,Hồ Chí Minh,251,3,786234,completed
TXN-2010937,2024-07-15 08:27:10,U628493,1800000,M020938,grocery,qr,,,,VN,Hồ Chí Minh,1082,5,3104008,completed
TXN-2012754,2024-07-15 09:05:19,U629018,460000,M022147,ECOM,bill,,,,VN,Cần Thơ,2319,3,787771,completed
TXN-2020758,2024-07-15 09:56:26,U593255,2452000,M022765,Telco,p2p,,,,VN,Lâm Đồng,2340,1,2536970,completed
TXN-2004050,2024-07-15 10:13:27,U780322,103000,M006744,FOOD_BEV,qr,,,,VN,An Giang,1281,2,105524,completed
TXN-2001521,2024-07-15 10:29:48,U965769,1040000,M000984,transport,qr,,,,VN,Hồ Chí Minh,351,5,862302,completed
TXN-2001521,2024-07-15 10:29:48,U965769,1040000,M000984,transport,qr,,,,VN,Hồ Chí Minh,351,5,862302,completed
TXN-2023344,2024-07-15 10:38:05,U454615,663000,M022301,ECOM,bill,,,,VN,Hà Nội,738,2,370797,completed
TXN-2000262,2024-07-15 11:55:29,U660148,104000,M019573,transport,ecom,,,,VN,Hà Nội,1226,3,180012,completed
TXN-2024928,2024-07-15 12:30:48,U325746,131000,M025637,Health,qr,,,,VN,Hà Nội,1405,2,173688,completed
TXN-2021523,2024-07-15 12:51:50,U536682,5759000,M002190,E Commerce,p2p,,,,VN,Hà Nội,212,6,6311815,completed
TXN-2004299,2024-07-15 13:34:50,U409584,571000,M011572,ride_hailing,ecom,,,,VN,Nghệ An,662,8,532234,completed
TXN-2024286,2024-07-15 14:51:29,U673012,489000,M000847,Food & Beverage,qr,,,,VN,Hà Nội,2155,4,928710,completed
TXN-2012580,2024-07-15 14:53:13,U912793,462000,M023162,Food & Beverage,topup,,,,VN,Hà Nội,690,5,499110,completed
TXN-2015759,2024-07-15 16:07:21,U526767,6099000,M027592,,p2p,,,,VN,Hà Nội,2237,4,6072247,completed
TXN-2002736,2024-07-15 16:25:47,U282828,10365000,M001272,grocery,bill,,,,VN,Lâm Đồng,2180,5,8892617,completed
TXN-2018611,2024-07-15 16:28:09,U107504,3116000,M005734,ENT,bill,,,,VN,Hồ Chí Minh,171,6,2596577,completed
TXN-2023574,2024-07-16 00:00:06,U981725,87000,M023868,ride_hailing,topup,,,,VN,Đà Nẵng,1946,7,127044,completed
TXN-2020315,2024-07-16 00:15:54,U216320,622000,M022330,,qr,,,,VN,Hồ Chí Minh,1798,3,1025490,completed
TXN-2002748,2024-07-16 00:22:33,U436776,11987000,M013118,,ecom,,,,VN,Hồ Chí Minh,834,3,11355482,completed
TXN-2021253,2024-07-16 00:24:58,U770480,962000,M023926,e_commerce,bill,,,,VN,Đà Nẵng,459,1,1464807,completed
TXN-2009305,2024-07-16 01:24:01,U253789,1378000,M014592,telco,p2p,,,,VN,Bình Dương,1149,1,1330564,completed
TXN-2021112,2024-07-16 02:06:39,U419036,211000,M017872,F&B,p2p,,,,VN,Hà Nội,222,1,307254,completed
TXN-2002517,2024-07-16 03:37:38,U923694,53000,M017870,,qr,,,,VN,Hà Nội,693,1,47900,completed
TXN-2014881,2024-07-16 03:56:07,U946408,502000,M008289,fnb,bill,,,,VN,Hồ Chí Minh,1846,4,771026,completed
TXN-2007909,2024-07-16 03:59:32,U914321,99000,M000543,FOOD_BEV,qr,,,,VN,Đồng Nai,256,6,169033,completed
TXN-2013654,2024-07-16 05:18:40,U900439,9300000,M012893,Telco,p2p,,,,VN,Hà Nội,1947,4,17146889,completed
TXN-2009792,2024-07-16 06:38:01,U308221,234000,M021127,food_bev,qr,,,,VN,Đà Nẵng,1343,3,138540,completed
TXN-2009613,2024-07-16 07:02:48,U467241,99000,M029168,E-Commerce,bill,,,,VN,Cần Thơ,1215,3,166933,completed
TXN-2018884,2024-07-16 07:11:34,U329917,3264000,M029975,ecommerce,p2p,,,,VN,Khánh Hòa,2218,6,3122950,completed
TXN-2015799,2024-07-16 07:39:48,U786738,54000,M022645,entertainment,topup,,,,VN,Hà Nội,1463,3,39722,completed
TXN-2016580,2024-07-16 07:50:03,U215318,138000,M001519,E Commerce,topup,,,,VN,Hà Nội,1719,2,262167,completed
TXN-2014268,2024-07-16 07:58:16,U966224,152000,M002113,entertainment,qr,,,,VN,Hà Nội,1741,8,215487,completed
TXN-2003655,2024-07-16 08:12:09,U971749,1090000,M011404,Transport,ecom,,,,VN,Hà Nội,2300,4,732060,completed
